vaga_id,requisito_id,requisito,categoria,categoria_nome
gupy-44b9a95e4f,ingles,Inglês,comunicacao,Comunicação e idioma
gupy-44b9a95e4f,comunicacao_geral,Comunicação (falar/escrever bem),comunicacao,Comunicação e idioma
gupy-44b9a95e4f,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-44b9a95e4f,autonomia,Autonomia / trabalhar sem supervisão,comportamento,Comportamento e colaboração
gupy-44b9a95e4f,aprendizado_continuo,Aprendizado contínuo / curiosidade,comportamento,Comportamento e colaboração
gupy-44b9a95e4f,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-44b9a95e4f,adaptabilidade,Adaptabilidade / ambiente de mudança,comportamento,Comportamento e colaboração
gupy-44b9a95e4f,organizacao_tempo,Organização / gestão de prazos,comportamento,Comportamento e colaboração
gupy-44b9a95e4f,metodologias_ageis,Metodologias ágeis (Scrum/Kanban),processo,Processo e prática de engenharia
gupy-44b9a95e4f,testes_automatizados,Testes automatizados / TDD,processo,Processo e prática de engenharia
gupy-44b9a95e4f,ci_cd,CI/CD e automação de deploy,processo,Processo e prática de engenharia
gupy-44b9a95e4f,versionamento,Controle de versão (Git),processo,Processo e prática de engenharia
gupy-44b9a95e4f,documentacao,Documentação técnica,processo,Processo e prática de engenharia
gupy-44b9a95e4f,arquitetura,Arquitetura / system design,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-44b9a95e4f,boas_praticas_codigo,Clean code / SOLID / boas práticas,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-44b9a95e4f,containers,Containers / Kubernetes,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-44b9a95e4f,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-44b9a95e4f,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-44b9a95e4f,microservicos,Microsserviços,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-44b9a95e4f,mensageria_eventos,Mensageria / arquitetura orientada a eventos,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-44b9a95e4f,graduacao,Diploma / ensino superior,credenciais,"Credenciais, contexto e formato de trabalho"
gupy-1d8d3986c1,ci_cd,CI/CD e automação de deploy,processo,Processo e prática de engenharia
gupy-1d8d3986c1,cultura_devops,Cultura DevOps,processo,Processo e prática de engenharia
gupy-1d8d3986c1,documentacao,Documentação técnica,processo,Processo e prática de engenharia
gupy-1d8d3986c1,boas_praticas_codigo,Clean code / SOLID / boas práticas,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-1d8d3986c1,cloud,Cloud (AWS/Azure/GCP),tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-1d8d3986c1,containers,Containers / Kubernetes,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-1d8d3986c1,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-1d8d3986c1,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-1d8d3986c1,microservicos,Microsserviços,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-1d8d3986c1,impacto_negocio,Entender o negócio / gerar impacto,produto,Produto e negócio
gupy-66717b5972,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-66717b5972,times_multidisciplinares,Times multidisciplinares / cross-functional,comportamento,Comportamento e colaboração
gupy-66717b5972,metodologias_ageis,Metodologias ágeis (Scrum/Kanban),processo,Processo e prática de engenharia
gupy-66717b5972,code_review,Code review / pull request,processo,Processo e prática de engenharia
gupy-66717b5972,testes_automatizados,Testes automatizados / TDD,processo,Processo e prática de engenharia
gupy-66717b5972,ci_cd,CI/CD e automação de deploy,processo,Processo e prática de engenharia
gupy-66717b5972,versionamento,Controle de versão (Git),processo,Processo e prática de engenharia
gupy-66717b5972,observabilidade,Observabilidade / monitoramento,processo,Processo e prática de engenharia
gupy-66717b5972,documentacao,Documentação técnica,processo,Processo e prática de engenharia
gupy-66717b5972,performance_escala,Performance e escala,processo,Processo e prática de engenharia
gupy-66717b5972,boas_praticas_codigo,Clean code / SOLID / boas práticas,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-66717b5972,containers,Containers / Kubernetes,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-66717b5972,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-66717b5972,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-66717b5972,mensageria_eventos,Mensageria / arquitetura orientada a eventos,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-66717b5972,experiencia_previa,Experiência prévia comprovada (sem número),credenciais,"Credenciais, contexto e formato de trabalho"
gupy-66717b5972,graduacao,Diploma / ensino superior,credenciais,"Credenciais, contexto e formato de trabalho"
gupy-0980b285b3,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-0980b285b3,lideranca,Liderança técnica,comportamento,Comportamento e colaboração
gupy-0980b285b3,metodologias_ageis,Metodologias ágeis (Scrum/Kanban),processo,Processo e prática de engenharia
gupy-0980b285b3,code_review,Code review / pull request,processo,Processo e prática de engenharia
gupy-0980b285b3,testes_automatizados,Testes automatizados / TDD,processo,Processo e prática de engenharia
gupy-0980b285b3,ci_cd,CI/CD e automação de deploy,processo,Processo e prática de engenharia
gupy-0980b285b3,versionamento,Controle de versão (Git),processo,Processo e prática de engenharia
gupy-0980b285b3,observabilidade,Observabilidade / monitoramento,processo,Processo e prática de engenharia
gupy-0980b285b3,boas_praticas_codigo,Clean code / SOLID / boas práticas,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-0980b285b3,containers,Containers / Kubernetes,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-0980b285b3,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-0980b285b3,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-0980b285b3,mensageria_eventos,Mensageria / arquitetura orientada a eventos,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-0980b285b3,experiencia_previa,Experiência prévia comprovada (sem número),credenciais,"Credenciais, contexto e formato de trabalho"
gupy-0980b285b3,graduacao,Diploma / ensino superior,credenciais,"Credenciais, contexto e formato de trabalho"
gupy-89e5ec0e94,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-89e5ec0e94,proatividade,Proatividade / iniciativa,comportamento,Comportamento e colaboração
gupy-89e5ec0e94,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-89e5ec0e94,documentacao,Documentação técnica,processo,Processo e prática de engenharia
gupy-89e5ec0e94,stakeholders,Relação com stakeholders,produto,Produto e negócio
gupy-76ef21c879,comunicacao_geral,Comunicação (falar/escrever bem),comunicacao,Comunicação e idioma
gupy-76ef21c879,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-76ef21c879,ownership,Ownership / senso de dono,comportamento,Comportamento e colaboração
gupy-76ef21c879,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-76ef21c879,mentoria,Mentoria de outras pessoas,comportamento,Comportamento e colaboração
gupy-76ef21c879,lideranca,Liderança técnica,comportamento,Comportamento e colaboração
gupy-76ef21c879,code_review,Code review / pull request,processo,Processo e prática de engenharia
gupy-76ef21c879,observabilidade,Observabilidade / monitoramento,processo,Processo e prática de engenharia
gupy-76ef21c879,seguranca,Segurança / conformidade,processo,Processo e prática de engenharia
gupy-76ef21c879,cloud,Cloud (AWS/Azure/GCP),tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-76ef21c879,containers,Containers / Kubernetes,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-76ef21c879,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-76ef21c879,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-76ef21c879,microservicos,Microsserviços,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-76ef21c879,mensageria_eventos,Mensageria / arquitetura orientada a eventos,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-ee9f538b24,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-ee9f538b24,proatividade,Proatividade / iniciativa,comportamento,Comportamento e colaboração
gupy-ee9f538b24,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-ee9f538b24,mentoria,Mentoria de outras pessoas,comportamento,Comportamento e colaboração
gupy-ee9f538b24,adaptabilidade,Adaptabilidade / ambiente de mudança,comportamento,Comportamento e colaboração
gupy-ee9f538b24,organizacao_tempo,Organização / gestão de prazos,comportamento,Comportamento e colaboração
gupy-ee9f538b24,metodologias_ageis,Metodologias ágeis (Scrum/Kanban),processo,Processo e prática de engenharia
gupy-ee9f538b24,testes_automatizados,Testes automatizados / TDD,processo,Processo e prática de engenharia
gupy-ee9f538b24,ci_cd,CI/CD e automação de deploy,processo,Processo e prática de engenharia
gupy-ee9f538b24,versionamento,Controle de versão (Git),processo,Processo e prática de engenharia
gupy-ee9f538b24,observabilidade,Observabilidade / monitoramento,processo,Processo e prática de engenharia
gupy-ee9f538b24,performance_escala,Performance e escala,processo,Processo e prática de engenharia
gupy-ee9f538b24,arquitetura,Arquitetura / system design,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-ee9f538b24,boas_praticas_codigo,Clean code / SOLID / boas práticas,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-ee9f538b24,cloud,Cloud (AWS/Azure/GCP),tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-ee9f538b24,containers,Containers / Kubernetes,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-ee9f538b24,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-ee9f538b24,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-ee9f538b24,microservicos,Microsserviços,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-ee9f538b24,mensageria_eventos,Mensageria / arquitetura orientada a eventos,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-d590e3d3dd,comunicacao_geral,Comunicação (falar/escrever bem),comunicacao,Comunicação e idioma
gupy-d590e3d3dd,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-d590e3d3dd,aprendizado_continuo,Aprendizado contínuo / curiosidade,comportamento,Comportamento e colaboração
gupy-d590e3d3dd,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-d590e3d3dd,atencao_detalhe,Atenção a detalhes / qualidade,comportamento,Comportamento e colaboração
gupy-d590e3d3dd,organizacao_tempo,Organização / gestão de prazos,comportamento,Comportamento e colaboração
gupy-d590e3d3dd,observabilidade,Observabilidade / monitoramento,processo,Processo e prática de engenharia
gupy-d590e3d3dd,documentacao,Documentação técnica,processo,Processo e prática de engenharia
gupy-d590e3d3dd,cloud,Cloud (AWS/Azure/GCP),tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-d590e3d3dd,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-d590e3d3dd,experiencia_previa,Experiência prévia comprovada (sem número),credenciais,"Credenciais, contexto e formato de trabalho"
gupy-d590e3d3dd,graduacao,Diploma / ensino superior,credenciais,"Credenciais, contexto e formato de trabalho"
gupy-d590e3d3dd,impacto_negocio,Entender o negócio / gerar impacto,produto,Produto e negócio
gupy-415ce5a208,metodologias_ageis,Metodologias ágeis (Scrum/Kanban),processo,Processo e prática de engenharia
gupy-415ce5a208,testes_automatizados,Testes automatizados / TDD,processo,Processo e prática de engenharia
gupy-415ce5a208,versionamento,Controle de versão (Git),processo,Processo e prática de engenharia
gupy-415ce5a208,cultura_devops,Cultura DevOps,processo,Processo e prática de engenharia
gupy-415ce5a208,arquitetura,Arquitetura / system design,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-415ce5a208,cloud,Cloud (AWS/Azure/GCP),tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-415ce5a208,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-415ce5a208,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-415ce5a208,fundamentos_cs,Algoritmos e estruturas de dados,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-21d7979c2d,observabilidade,Observabilidade / monitoramento,processo,Processo e prática de engenharia
gupy-21d7979c2d,cloud,Cloud (AWS/Azure/GCP),tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-21d7979c2d,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-21d7979c2d,dados_ia,Dados / IA no dia a dia,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-af753d1a5b,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-af753d1a5b,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-7e3338b53a,comunicacao_geral,Comunicação (falar/escrever bem),comunicacao,Comunicação e idioma
gupy-7e3338b53a,autonomia,Autonomia / trabalhar sem supervisão,comportamento,Comportamento e colaboração
gupy-7e3338b53a,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-7e3338b53a,organizacao_tempo,Organização / gestão de prazos,comportamento,Comportamento e colaboração
gupy-7e3338b53a,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-7e3338b53a,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-7e3338b53a,dados_ia,Dados / IA no dia a dia,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-7e3338b53a,impacto_negocio,Entender o negócio / gerar impacto,produto,Produto e negócio
gupy-da1cf804f5,comunicacao_geral,Comunicação (falar/escrever bem),comunicacao,Comunicação e idioma
gupy-da1cf804f5,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-da1cf804f5,ownership,Ownership / senso de dono,comportamento,Comportamento e colaboração
gupy-da1cf804f5,aprendizado_continuo,Aprendizado contínuo / curiosidade,comportamento,Comportamento e colaboração
gupy-da1cf804f5,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-da1cf804f5,atencao_detalhe,Atenção a detalhes / qualidade,comportamento,Comportamento e colaboração
gupy-da1cf804f5,organizacao_tempo,Organização / gestão de prazos,comportamento,Comportamento e colaboração
gupy-da1cf804f5,metodologias_ageis,Metodologias ágeis (Scrum/Kanban),processo,Processo e prática de engenharia
gupy-da1cf804f5,code_review,Code review / pull request,processo,Processo e prática de engenharia
gupy-da1cf804f5,versionamento,Controle de versão (Git),processo,Processo e prática de engenharia
gupy-da1cf804f5,boas_praticas_codigo,Clean code / SOLID / boas práticas,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-da1cf804f5,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-da1cf804f5,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-da1cf804f5,fundamentos_cs,Algoritmos e estruturas de dados,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-da1cf804f5,graduacao,Diploma / ensino superior,credenciais,"Credenciais, contexto e formato de trabalho"
gupy-fc4670ae23,comunicacao_geral,Comunicação (falar/escrever bem),comunicacao,Comunicação e idioma
gupy-fc4670ae23,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-fc4670ae23,autonomia,Autonomia / trabalhar sem supervisão,comportamento,Comportamento e colaboração
gupy-fc4670ae23,ownership,Ownership / senso de dono,comportamento,Comportamento e colaboração
gupy-fc4670ae23,aprendizado_continuo,Aprendizado contínuo / curiosidade,comportamento,Comportamento e colaboração
gupy-fc4670ae23,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
gupy-fc4670ae23,organizacao_tempo,Organização / gestão de prazos,comportamento,Comportamento e colaboração
gupy-fc4670ae23,metodologias_ageis,Metodologias ágeis (Scrum/Kanban),processo,Processo e prática de engenharia
gupy-fc4670ae23,ci_cd,CI/CD e automação de deploy,processo,Processo e prática de engenharia
gupy-fc4670ae23,versionamento,Controle de versão (Git),processo,Processo e prática de engenharia
gupy-fc4670ae23,cultura_devops,Cultura DevOps,processo,Processo e prática de engenharia
gupy-fc4670ae23,documentacao,Documentação técnica,processo,Processo e prática de engenharia
gupy-fc4670ae23,boas_praticas_codigo,Clean code / SOLID / boas práticas,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-fc4670ae23,cloud,Cloud (AWS/Azure/GCP),tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-fc4670ae23,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-fc4670ae23,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-fc4670ae23,experiencia_previa,Experiência prévia comprovada (sem número),credenciais,"Credenciais, contexto e formato de trabalho"
gupy-fc4670ae23,graduacao,Diploma / ensino superior,credenciais,"Credenciais, contexto e formato de trabalho"
gupy-fc4670ae23,impacto_negocio,Entender o negócio / gerar impacto,produto,Produto e negócio
gupy-996b48ff6d,ingles,Inglês,comunicacao,Comunicação e idioma
gupy-996b48ff6d,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-996b48ff6d,aprendizado_continuo,Aprendizado contínuo / curiosidade,comportamento,Comportamento e colaboração
gupy-996b48ff6d,organizacao_tempo,Organização / gestão de prazos,comportamento,Comportamento e colaboração
gupy-996b48ff6d,testes_automatizados,Testes automatizados / TDD,processo,Processo e prática de engenharia
gupy-996b48ff6d,documentacao,Documentação técnica,processo,Processo e prática de engenharia
gupy-996b48ff6d,boas_praticas_codigo,Clean code / SOLID / boas práticas,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-996b48ff6d,banco_dados,Banco de dados / SQL,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-996b48ff6d,apis_integracao,APIs e integrações,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-996b48ff6d,graduacao,Diploma / ensino superior,credenciais,"Credenciais, contexto e formato de trabalho"
gupy-662542835a,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-662542835a,times_multidisciplinares,Times multidisciplinares / cross-functional,comportamento,Comportamento e colaboração
gupy-662542835a,mentoria,Mentoria de outras pessoas,comportamento,Comportamento e colaboração
gupy-662542835a,code_review,Code review / pull request,processo,Processo e prática de engenharia
gupy-662542835a,testes_automatizados,Testes automatizados / TDD,processo,Processo e prática de engenharia
gupy-662542835a,documentacao,Documentação técnica,processo,Processo e prática de engenharia
gupy-662542835a,performance_escala,Performance e escala,processo,Processo e prática de engenharia
gupy-662542835a,boas_praticas_codigo,Clean code / SOLID / boas práticas,tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-662542835a,cloud,Cloud (AWS/Azure/GCP),tecnico_transversal,Fundamentos técnicos que independem de linguagem
gupy-662542835a,experiencia_previa,Experiência prévia comprovada (sem número),credenciais,"Credenciais, contexto e formato de trabalho"
gupy-4e34c2c275,comunicacao_geral,Comunicação (falar/escrever bem),comunicacao,Comunicação e idioma
gupy-4e34c2c275,trabalho_em_equipe,Trabalho em equipe / colaboração,comportamento,Comportamento e colaboração
gupy-4e34c2c275,autonomia,Autonomia / trabalhar sem supervisão,comportamento,Comportamento e colaboração
gupy-4e34c2c275,ownership,Ownership / senso de dono,comportamento,Comportamento e colaboração
gupy-4e34c2c275,proatividade,Proatividade / iniciativa,comportamento,Comportamento e colaboração
gupy-4e34c2c275,resolucao_problemas,Resolução de problemas / raciocínio analítico,comportamento,Comportamento e colaboração
